"seq","speaker","clean_text","raw_text"
195,"JUSTICE KAGAN","and i do not have to  i do not have to accept all miss blatts the sky is falling stuff to accept something about boy there is a lot of uncertainty about going the way you would have us go in part just because of the difficulty of drawing lines in this area and just because of the fact that once we go with you all of a sudden we are finding that google is not protected and maybe congress should want that system but is not that something for congress to do not the court"," And I don't have to -- I don't have to accept all Ms. Blatt's ""the sky is falling"" stuff to accept something about, boy, there is a lot of uncertainty about going the way you would have us go, in part, just because of the difficulty of drawing lines in this area and just because of the fact that, once we go with you, all of a sudden we're finding that Google isn't protected. And maybe Congress should want that system, but isn't that something for Congress to do, not the Court?"
196,"MR. SCHNAPPER","well i  i think the  the  the  the linedrawing problems are real no one minimizes that i think that the task for this court is to apply the statute the way it was written and if i might return to a point that justice alito made much of what goes on now did not exist in  the statute was written to address one or two very specific problems about defamation cases and it drew lines around certain kind of things and it protected those it did not and could not have written  been written in such a way to protect everything else that might come along that was highly desirable congress did not adopt a regulatory scheme they protected a few things it will inevitably happen it has happened that companies have devised practices which are maybe highly laudable but they do not fit within the four walls of the statute that will continue to happen no matter what happens  what you do and the answer is when  when someone devises some new  some new practice that may be highly desirable but does not fit within the four walls of the statute the  the industry has to go back to congress and say we need you to broaden the statute because you wrote this to protect chat rooms in  and we want to do something that does not fit within the statutes and  and using thumbnails would be a perfect example of that"," Well, I -- I think the -- the -- the -- the line-drawing problems are real. No one minimizes that. I think that the task for this Court is to apply the statute the way it was written. And if I might return to a point that Justice Alito made, much of what goes on now didn't exist in 1996. The statute was written to address one or two very specific problems about defamation cases, and it drew lines around certain kind of things and it protected those. It did not and could not have written -- been written in such a way to protect everything else that might come along that was highly desirable. Congress didn't adopt a regulatory scheme. They protected a few things. It will inevitably happen, it has happened, that companies have devised practices which are maybe highly laudable, but they don't fit within the four walls of the statute. That will continue to happen no matter what happens -- what you do. And the answer is, when -- when someone devises some new -- some new practice that may be highly desirable but doesn't fit within the four walls of the statute, the -- the industry has to go back to Congress and say: We need you to broaden the statute because you wrote this to protect chat rooms in 1996, and we want to do something that doesn't fit within the statutes. And -- and using thumbnails would be a perfect example of that."
197,"JUSTICE KAGAN","thank you"," Thank you. "
198,"JUSTICE ROBERTS","justice gorsuch"," Justice Gorsuch?"
199,"JUSTICE GORSUCH","mister schnapper i just want to make sure i understand as you say the statutory language and how this case fits with it and if we could start with section f which defines the term access software provider it includes among other things picking choosing analyzing or digesting content and we might in another world in our first amendment jurisprudence think of picking and choosing analyzing or digesting content as content providing but the statute seems to suggest that is not what it is it is something different in this context in this statutory context and it is protected do you agree with that"," Mr. Schnapper, I just want to make sure I understand, as you say, the statutory language and how this case fits with it, and if we could start with Section 230(f)(4), which defines the term ""access software provider."" It includes, among other things, picking, choosing, analyzing, or digesting content. And we might in another world in our First Amendment jurisprudence think of picking and choosing, analyzing or digesting content as content providing, but the statute seems to suggest that's not what it is, it's something different in this context, in this statutory context, and it's protected. Do you agree with that?"
200,"MR. SCHNAPPER","no let  and i  if i might explain whi"," No. Let -- and I -- if I might explain why?"
201,"JUSTICE GORSUCH","briefli"," Briefly."
202,"MR. SCHNAPPER","i will do my best the  the language that you refer to in section f does not apply her"," I'll do my best. The -- the language that you refer to in Section (f)(4) doesn't apply here."
203,"JUSTICE GORSUCH","no i  i  i  we will get to that in a minute but let us just take that as given okay that i think that what say google does in picking choosing analyzing or even digesting content just makes it an access software provider let us take that as given and so that would normally be protected activity but f carves out a scenario where you become a content provider and that is something different in my mind to picking choosing analyzing or digesting content okay let us just take those two premises as given"," No, I -- I -- I -- we'll get to that in a minute. But let's just take that as given, okay, that I think that what, say, Google does in picking, choosing, analyzing, or even digesting content just makes it an access software provider. Let's take that as given, and so that would normally be protected activity. But (f)(3) carves out a scenario where you become a content provider, and that's something different in my mind to picking, choosing, analyzing, or digesting content, okay? Let's just take those two premises as given."
204,"MR. SCHNAPPER","okay"," Okay."
205,"JUSTICE GORSUCH","all right you got to do something beyond picking choosing or analyzing or digesting content which is what search engines typically do even as i understand it you have got to do something beyond that as i take your argument you think that the ninth circu it is neutral tools rule is wrong because in a postalgorithm world artificial intelligence can generate some forms of content even according to neutral rules i mean artificial intelligence generates poetry it generates polemics today that  that would be content that goes beyond picking choosing analyzing or digesting content and that is not protected let us  let us assume that is right okay then i guess the question becomes what do we do about youtubes recommendations and  and as i see it we have a few options we could say that youtube does generate its own content when it makes a recommendation says up next we could say no that is more like picking and choosing or we could say the ninth circu it is neutral tools test was mistaken because in some circumstances even neutral tools like algorithms can generate through artificial intelligence forms of content and that the ninth circuit was not sensitive to that possibility and remand the case for it to consider that question what is wrong with that"," All right? You got to do something beyond picking, choosing, or analyzing or digesting content, which is what search engines typically do, even as I understand it. You've got to do something beyond that. As I take your argument, you think that the Ninth Circuit's Neutral Tools Rule is wrong because, in a post-algorithm world, artificial intelligence can generate some forms of content, even according to Neutral Rules. I mean, artificial intelligence generates poetry, it generates polemics today. That -- that would be content that goes beyond picking, choosing, analyzing, or digesting content. And that is not protected. Let's -- let's assume that's right, okay? Then I guess the question becomes, what do we do about YouTube's recommendations? And -- and as I see it, we have a few options. We could say that YouTube does generate its own content when it makes a recommendation, says ""Up next."" We could say no, that's more like picking and choosing. Or we could say the Ninth Circuit's Neutral Tools test was mistaken because, in some circumstances, even neutral tools, like algorithms, can generate through artificial intelligence forms of content and that the Ninth Circuit wasn't sensitive to that possibility and remand the case for it to consider that question. What's wrong with that?"
206,"MR. SCHNAPPER","well it is not our theory but it is  laught"," Well, it's not our theory, but it's -- (Laughter.)"
207,"MR. SCHNAPPER"," if the alternative is what miss blatt will be telling you i will "," -- if the alternative is what Ms. Blatt will be telling you, I'll --"
208,"JUSTICE GORSUCH","i am not asking you you know hey i will win at any cost"," I'm not asking you, you know, hey, I'll win at any cost."
209,"MR. SCHNAPPER","no there is nothing wrong with it"," No, there's nothing wrong with it."
210,"JUSTICE GORSUCH","i am asking you what is  what is  whether that is a correct analysis of the statutory terms you keep referring us to "," I'm asking you what's -- what's -- whether that is a correct analysis of the statutory terms you keep referring us to --"
211,"MR. SCHNAPPER","yes"," Yes."
212,"JUSTICE GORSUCH"," or whether it is not"," -- or whether it is not."
213,"MR. SCHNAPPER","yes yes yes as  as we have said this now is close to something we set out in our brief which is that the  that the algorithm could create things on its own it can create a catalogue of isis videos which would be analogous to a compilation under section  of the copyright act a compilation is a distinct entity it is copyrightable even if the elements of it were not so yes absolutely the software could create something like that it would not be thirdparty content and therefore it would fall outside the scope of the statut"," Yes, yes, yes. As -- as we've said, this now is close to something we set out in our brief, which is that the -- that the algorithm could create things on its own. It can create a catalogue of ISIS videos, which would be analogous to a compilation under Section 101 of the Copyright Act. A compilation is a distinct entity, it's copyrightable, even if the elements of it were not. So, yes, absolutely, the software could create something like that. It would not be third-party content, and, therefore, it would fall outside the scope of the statute."
214,"JUSTICE GORSUCH","thank you"," Thank you. "
215,"JUSTICE ROBERTS","justice kavanaugh"," Justice Kavanaugh?"
216,"JUSTICE KAVANAUGH","just to pick up on justice gorsuchs questions the idea of recommendations is not in the statute and the statute does refer to organization and the definition as he was saying of interactive computer service means one that filters screens picks chooses organizes content and your position i think would mean that the very thing that makes the website an interactive computer service also mean that it loses the protection of  and just as a textual and structural matter we do not usually read a statute to in essence defeat itself so what is your response to that"," Just to pick up on Justice Gorsuch's questions, the idea of recommendations is not in the statute. And the statute does refer to organization, and the definition, as he was saying, of interactive computer service means one that filters, screens, picks, chooses, organizes content. And your position, I think, would mean that the very thing that makes the website an interactive computer service also mean that it loses the protection of 230. And just as a textual and structural matter, we don't usually read a statute to, in essence, defeat itself. So what's your response to that?"
217,"MR. SCHNAPPER","my response is that the text does not apply here let me explain why the  the element in  the  the list in  in f refers to only one of the three kinds of interactive computer services in f in f  and this is  this is on page  of the petition appendix f says an interactive computer service means  and there  it gives you three candidates you have got one of them  an information service a system or an access software provider now youtube is one of the first two it does not  it is not a software provider the definition in f only delineates who is an access software provider it does not apply to who is an information system or service and that was congresss choice congress did not say you are an interactive  you are a service an information service or a system if you do those things it said you are only  those things only bring you within the four walls of interactive computer service if you are  if you are a software provider and  and that made sense in the context of what was happening in  in  if you wanted to go online you would typically sign up with compuserve or prodigy and they would literally give you diskettes they would sell  they would be selling you software and  and this provision in f is about that activity that is not what is happening her"," My response is that the text doesn't apply here. Let me explain why. The -- the element in -- the -- the list in -- in (f)(4) refers to only one of the three kinds of interactive computer services in (f)(2). In (f)(2) -- and this is -- this is on page 267 of the petition appendix. (f)(2) says an interactive computer service means -- and there -- it gives you three candidates, you've got one of them -- an information service, a system, or an access software provider. Now YouTube is one of the first two. It doesn't -- it's not a software provider. The definition in (f)(4) only delineates who is an access software provider. It doesn't apply to who's an information system or service. And that was Congress's choice. Congress didn't say you're an interactive -- you're a service, an information service or a system if you do those things. It said you're only -- those things only bring you within the four walls of interactive computer service if you're -- if you're a software provider. And -- and that made sense in the context of what was happening in 1996. In 1996, if you wanted to go online, you would typically sign up with CompuServe or Prodigy and they would literally give you diskettes. They would sell -- they would be selling you software. And -- and this provision in (f)(4) is about that activity. That's not what's happening here."
218,"JUSTICE KAVANAUGH","well just  just to go back to  and maybe pick up on justice kagans questions earlier it seems that you continually want to focus on the precise issue that was going on in  but then congress drafted a broad text and that text has been unanimously read by courts of appeals over the years to provide protection in this sort of situation and that you now want to challenge that consensus but the amici on the other side say well to do that to pull back now from the interpretation that is been in place would create a lot of economic dislocation would really crash the digital economy with all sorts of effects on workers and consumers retirement plans and what have you and those are serious concerns and concerns that congress if it were to take a look at this and try to fashion something along the lines of what you are saying could account for we are not equipped to account for that so are the predictions of problems overstated if so how and are we really the right body to draw back from what had been the text and consistent understanding in courts of app"," Well, just -- just to go back to 1996 and maybe pick up on Justice Kagan's questions earlier, it seems that you continually want to focus on the precise issue that was going on in 1996, but then Congress drafted a broad text, and that text has been unanimously read by courts of appeals over the years to provide protection in this sort of situation and that you now want to challenge that consensus. But the amici on the other side say: Well, to do that, to pull back now from the interpretation that's been in place would create a lot of economic dislocation, would really crash the digital economy with all sorts of effects on workers and consumers, retirement plans and what have you, and those are serious concerns and concerns that Congress, if it were to take a look at this and try to fashion something along the lines of what you're saying, could account for. We are not equipped to account for that. So are the predictions of problems overstated? If so, how? And are we really the right body to draw back from what had been the text and consistent understanding in courts of appeals?"
219,"MR. SCHNAPPER","well i  our position is that the text does not  does not say this with regard to the issue of what we have come to call recommendations this is not a longstanding wellestablished body of precedent it is really three decisions the decision in this case the dyroff decision and force and  and of the eight justices to "," Well, I -- our position is that the text doesn't -- doesn't say this. With regard to the issue of what we've come to call recommendations, this isn't a longstanding, well-established body of precedent. It's really three decisions: the decision in this case, the Dyroff decision, and Force. And -- and of the eight justices to --"
220,"JUSTICE KAVANAUGH","what about the implications then go to that the implications for the economy that you have a lot of amicus briefs that we have to take seriously that say this is going to cause a lot of economic dislocation in the countri"," What about the implications then? Go to that, the implications for the economy, that you have a lot of amicus briefs that we have to take seriously that say this is going to cause a lot of economic dislocation in the country."
221,"MR. SCHNAPPER","i mean i would say a couple things in response to that the first one is on a close reading of the amicus briefs it is clear that they are urging the court to hold that a wide variety of different kinds of things are protected they are  they are inviting the court to adopt a rule that recommendations are protected and that whatever they are doing would qualify as a recommendation but you can not "," I mean, I'd say a couple things in response to that. The first one is, on a close reading of the amicus briefs, it's clear that they are urging the Court to hold that a wide variety of different kinds of things are protected. They're -- they're inviting the Court to adopt a rule that recommendations are protected and that whatever they're doing would qualify as a recommendation. But you can't --"
222,"JUSTICE KAVANAUGH","well i think they are saying a recommendation is a recommendation something express i mean your  your whole thing is the algorithms are an implied recommendation and they are saying well they are not an express recommendation that  that  so "," Well, I think they're saying a recommendation is a recommendation, something express. I mean, your -- your whole thing is the algorithms are an implied recommendation. And they're saying: Well, they're not an express recommendation. That -- that -- so --"
223,"MR. SCHNAPPER","i am "," I'm --"
224,"JUSTICE KAVANAUGH","but in any event why do not we focus on the quest"," But, in any event, why don't we focus on the question."
225,"MR. SCHNAPPER","yes y"," Yes. Yes."
226,"JUSTICE KAVANAUGH","do you  do you challenge the  the basic point"," Do you -- do you challenge the -- the basic point?"
227,"MR. SCHNAPPER","i think  i think  yes i  i "," I think -- I think -- yes. I -- I --"
228,"JUSTICE KAVANAUGH","and so "," And so --"
229,"MR. SCHNAPPER","we  we do on  on a couple grounds one of them is that i am not sure all these decisions  these briefs are distinguishing as we have today between liability because of the content of thirdparty materials and the recommendation function itself a  a distinction between more and less specific suggestions "," We -- we do, on -- on a couple grounds. One of them is that I'm not sure all these decisions -- these briefs are distinguishing as we have today between liability because of the content of third-party materials and the recommendation function itself. A -- a distinction between more and less specific suggestions --"
230,"JUSTICE KAVANAUGH","what would the difference be in liability in damag"," What would the difference be in liability, in damages?"
231,"MR. SCHNAPPER","i am sorry between which two th"," I'm sorry, between which two things?"
232,"JUSTICE KAVANAUGH","the thirdparty content and the recommend"," The third-party content and the recommendation."
233,"MR. SCHNAPPER","well most of the time the recommendations is not going to "," Well, most of the time the recommendations isn't going to --"
234,"JUSTICE KAVANAUGH","like how would the money at the end of the day differ if you are success"," Like how would the money at the end of the day differ if you are successful?"
235,"MR. SCHNAPPER","it might not be but most recommendations just are not actionable i mean there  there is no cause of action for telling someone to look at a book that has something defamatory in it jasta the statute we are talking about tomorrow is unusual in that recommendations could run you afoul of the statute but there are very few claims that are like that so it is  it is a very different kind of situation it is  the implications of this are limited because the kinds of circumstances in which a recommendation would be actionable are limit"," It might not be. But most recommendations just aren't actionable. I mean, there -- there is no cause of action for telling someone to look at a book that has something defamatory in it. JASTA, the statute we're talking about tomorrow, is unusual in that recommendations could run you afoul of the statute. But there are very few claims that are like that, so it's -- it's a very different kind of situation. It's -- the implications of this are limited because the kinds of circumstances in which a recommendation would be actionable are limited."
236,"JUSTICE KAVANAUGH","thank you"," Thank you. "
237,"JUSTICE ROBERTS","justice barrett"," Justice Barrett?"
238,"JUSTICE BARRETT","i would like to take you back mister schnapper to justice sotomayors questions about the complaint it seems to me that the complaint in this case is materially indistinguishable from the complaint in tomorrows case do you agree same aiding and "," I'd like to take you back, Mr. Schnapper, to Justice Sotomayor's questions about the complaint. It seems to me that the complaint in this case is materially indistinguishable from the complaint in tomorrow's case. Do you agree? Same aiding and --"
239,"MR. SCHNAPPER","the complaint in which case i am sorri"," The complaint in which case? I'm sorry."
240,"JUSTICE BARRETT","in tomorrows case in the taamneh case the twitter case and this on"," In tomorrow's case, in the Taamneh case, the Twitter case, and this one."
241,"MR. SCHNAPPER","pretty much"," Pretty much."
242,"JUSTICE BARRETT","so they are both relying on the same aidingandabetting theory so if you lose tomorrow do we even have to reach the section  question here would you concede that you would lose on that ground her"," So they're both relying on the same aiding-and-abetting theory. So, if you lose tomorrow, do we even have to reach the Section 230 question here? Would you concede that you would lose on that ground here?"
243,"MR. SCHNAPPER","no the  there was a motion to dismiss in tomorrows case on jasta grounds it did not get decided so if we lose tomorrow they will be  the defense will be free in this case to  to move to dismiss but we would be entitled to try to amend the complaint in this case to satisfy whatever standard you establish tomorrow"," No. The -- there was a motion to dismiss in tomorrow's case on JASTA grounds. It didn't get decided. So, if we lose tomorrow, they'll be -- the defense will be free in this case to -- to move to dismiss, but we'd be entitled to try to amend the complaint in this case to satisfy whatever standard you establish tomorrow."
244,"JUSTICE BARRETT","okay let me ask you this i am switching gears now so section  protects not only providers but also users so i am thinking about these recommendations let us say i retweet an isis video on your theory am i aiding and abetting and does the statute protect me or does my putting the thumbsup on it create new cont"," Okay. Let me ask you this. I'm switching gears now. So Section 230 protects not only providers but also users. So I'm thinking about these recommendations. Let's say I retweet an ISIS video. On your theory, am I aiding and abetting and does the statute protect me, or does my putting the thumbs-up on it create new content?"
245,"MR. SCHNAPPER","i  we do not read the word user in  that broadly there is not been a lot of litigation about this we  we think the word user is there to deal with a situation in which one entity accesses a  a  a server youtube for example and then someone else uses that entity like when i go to fedex office fedex office is the user that is accessing my email and the statute protects them when i look at the fedex computer and find the defamatory "," I -- we don't read the word ""user"" in -- that broadly. There's not been a lot of litigation about this. We -- we think the word ""user"" is there to deal with a situation in which one entity accesses a -- a -- a server, YouTube, for example, and then someone else uses that entity, like when I go to FedEx Office, FedEx Office is the user that is accessing my e-mail, and the statute protects them when I look at the FedEx computer and find the defamatory --"
246,"JUSTICE BARRETT","well let us say that i disagree with you let us say i am an entity that is using the service  the service so i count as a user you know my computer is accessing the servers when i retweet the image on your theory could i be liable under jasta for aiding and abetting without  do i lose protect"," Well, let's say that I disagree with you. Let's say I'm an entity that's using the service -- the service, so I count as a user. You know, my computer is accessing the servers when I retweet the image. On your theory, could I be liable under JASTA for aiding and abetting without -- do I lose protection?"
247,"MR. SCHNAPPER","right right right"," Right. Right. Right."
248,"JUSTICE BARRETT","have i created new cont"," Have I created new content?"
249,"MR. SCHNAPPER","the problem  whether it is enough for jasta is a separate inquiri"," The problem -- whether it's enough for JASTA is a separate inquiry."
250,"JUSTICE BARRETT","okay right fair enough"," Okay. Right. Fair enough."
251,"MR. SCHNAPPER","the question is is it outside "," The question is, is it outside 230?"
252,"JUSTICE BARRETT","is it outside of "," Is it outside of 230."
253,"MR. SCHNAPPER","right and our view is the statute does not mean anyone who is a user who re  who tweet  who  who pub  conveys thirdparty liable is protected if you  let us say that you  you read a book and it says john doe is a shoplifter and you send an email that says john doe is a shoplifter you are using you know the internet you are using the  the email system but nobody thinks that  that section  gives  is a blanket exemption for defamation on the website as long as you are quoting somebody else retweeting is a very automatic way of doing it but if you start down that road you would end up having to hold that as  that anytime i send a defamatory email i am protected as long as i am quoting somebody else and i do not think anybody "," Right. And our view is the statute doesn't mean anyone who's a user who re -- who tweet -- who -- who pub -- conveys third-party liable is protected. If you -- let's say that you -- you read a book, and it says John Doe is a shoplifter, and you send an e-mail that says John Doe is a shoplifter, you're using, you know, the Internet. You're using the -- the e-mail system. But nobody thinks that -- that Section 230 gives -- is a blanket exemption for defamation on the website as long as you're quoting somebody else. Retweeting is a very automatic way of doing it, but if you start down that road, you'd end up having to hold that as -- that anytime I send a defamatory e-mail, I'm protected as long as I'm quoting somebody else. And I don't think anybody --"
254,"JUSTICE BARRETT","well i guess i do not understand  i mean let us see i guess i do not understand logically why your argument would not mean that i was creating new content if i retweeted or if i liked it or if i said check this out why "," Well, I guess I don't understand -- I mean, let's see, I guess I don't understand logically why your argument wouldn't mean that I was creating new content if I retweeted or if I liked it or if I said check this out. Why --"
255,"MR. SCHNAPPER","well  well you "," Well -- well, you --"
256,"JUSTICE BARRETT"," why would not that"," -- why wouldn't that?"
257,"MR. SCHNAPPER"," you would be but i am advancing an argument that gets to the same place which is you are  you are not a user within the meaning of the statute just because you use  you go on email or  or youtube or  or on twitt"," -- you would be, but I'm advancing an argument that gets to the same place, which is you're -- you're not a user within the meaning of the statute just because you use -- you go on e-mail or -- or YouTube or -- or on Twitter."
258,"JUSTICE BARRETT","let us say i disagree with you let us say that i think you are a user of twitter if you go on twitter and you are using twitter and you retweet or you like or you say check this out on your theory i am not protected by section "," Let's say I disagree with you. Let's say that I think you're a user of Twitter if you go on Twitter and you're using Twitter and you retweet or you like or you say check this out. On your theory, I'm not protected by Section 230."
259,"MR. SCHNAPPER","that is content you have cr"," That's content you've created."
260,"JUSTICE BARRETT","that is content i have created okay and on the content creation point let us imagine  it seems like you are putting a whole lot of weight on the fact that these are thumbnails and so it is something that youtube separately cr"," That's content I've created. Okay. And on the content creation point, let's imagine -- it seems like you're putting a whole lot of weight on the fact that these are thumbnails, and so it's something that YouTube separately creates."
261,"MR. SCHNAPPER","yes"," Yes."
262,"JUSTICE BARRETT","what if they just screenshot they just screenshot the isis thing they do not do the thumbnail then are they "," What if they just screenshot? They just screenshot the ISIS thing. They don't do the thumbnail. Then are they --"
263,"MR. SCHNAPPER","that is  that is pure thirdparty cont"," That's -- that's pure third-party content."
264,"JUSTICE BARRETT","that is pure third  so this is just about how youtube set it up"," That's pure third -- so this is just about how YouTube set it up?"
265,"MR. SCHNAPPER","that is  that is  that is correct in this context and it gets back to the conversation we were having earlier about this is a new technology that did not exist in  and rather than ask congress to write the statute to cover it they just went ahead and did it"," That's -- that's -- that's correct in this context. And it gets back to the conversation we were having earlier about this is a new technology that didn't exist in 1996, and rather than ask Congress to write the statute to cover it, they just went ahead and did it."
266,"JUSTICE BARRETT","okay and last question turning to the statutory text so it seems to me that some the briefs in this case are focusing on what it means to treat someone as a publisher treat an entity as a publisher you are not really focusing on that and the traditional editorial functions argument i mean you are really focusing on the content provider argument correct"," Okay. And last question, turning to the statutory text. So it seems to me that some the briefs in this case are focusing on what it means to treat someone as a publisher, treat an entity as a publisher. You're not really focusing on that and the traditional editorial functions argument. I mean, you're really focusing on the content provider argument, correct?"
267,"MR. SCHNAPPER","no well we have advanced views as to each element of the claim our "," No. Well, we've advanced views as to each element of the claim. Our --"
268,"JUSTICE BARRETT","but today you have really been honing in on this are you actually creating content or just presenting thirdparty cont"," But today you've really been honing in on this are you actually creating content or just presenting third-party content."
269,"MR. SCHNAPPER","well i have been answering  that is where the questions "," Well, I've been answering -- that's where the questions --"
270,"JUSTICE BARRETT","yes"," Yes."
271,"MR. SCHNAPPER"," have taken us but  but  but our  our view would be that you are not being treated as a publisher of the video just because you  you publish the thumbnail"," -- have taken us, but -- but -- but our -- our view would be that you're not being treated as a publisher of the video just because you -- you publish the thumbnail."
272,"JUSTICE BARRETT","okay thank you"," Okay. Thank you."
273,"MR. SCHNAPPER","you are not being harmed by the thumbnail"," You're not being harmed by the thumbnail."
274,"JUSTICE BARRETT","thank you"," Thank you. "
275,"JUSTICE ROBERTS","justice jackson"," Justice Jackson?"
276,"JUSTICE JACKSON","so i guess  i guess i am thoroughly confused but let me  let me try to  let me try to understand what your argument is i think that the confusion that i am feeling is arising from the possibility that we are talking about two different concepts and conflating them in a way i thought that section  and the questions that we were asking in this case today was about whether there was immunity and whether google could claim the defense of immunity and that that is actually different than the question of whether whatever it does gives rise to liability that is is there liability for aiding and abetting that is tomorrows question and to the extent that you keep coming back to this notion of creating content or whatnot i feel like we are conflating the two in a way that i would like to just see if i can clear up from my perspective your brief says that the immunity question section cs text is most naturally read to prohibit courts from holding a website liable for failing to block or remove thirdparty content and i read the arguments in your brief and i read what you said about stratton oakmont and the sort of background and so i thought your argument was that the  that you can only claim immunity google if the claim that is being made against you is about your failing to block or remove thirdparty content to the extent we are making a claim about recommendations or doing anything else any of the you know hypotheticals that people have brought up that is outside of the scope of the statute because really the statute is narrowly tailored in a way to protect internet platforms from claims about failing to block or remove right i mean that is what i thought was happening all right so if that is true then all the hypotheticals and the questions about are you aiding and abetting if google you know has a priority list or if there is recommendations maybe but that is not in the statute because we are just talking about immunity we are just talking about whether or not you have made a claim for failing to block or remove in this case today related to section  am i doing too much of a separation here in terms of how i am conceiving of it"," So I guess -- I guess I'm thoroughly confused, but let me -- let me try to -- let me try to understand what your argument is. I think that the confusion that I'm feeling is arising from the possibility that we're talking about two different concepts and conflating them in a way. I thought that Section 230 and the questions that we were asking in this case today was about whether there was immunity and whether Google could claim the defense of immunity and that that's actually different than the question of whether whatever it does gives rise to liability. That is, is there liability for aiding and abetting? That's tomorrow's question. And to the extent that you keep coming back to this notion of creating content or whatnot, I feel like we're conflating the two in a way that I'd like to just see if I can clear up from my perspective. Your brief says that the immunity question, Section 230(c)(1)'s text is most naturally read to prohibit courts from holding a website liable for failing to block or remove third-party content. And I read the arguments in your brief and I read what you said about Stratton Oakmont and the sort of background, and so I thought your argument was that the -- that you can only claim immunity, Google, if the claim that's being made against you is about your failing to block or remove third-party content. To the extent we are making a claim about recommendations or doing anything else, any of the, you know, hypotheticals that people have brought up, that's outside of the scope of the statute because, really, the statute is narrowly tailored in a way to protect Internet platforms from claims about failing to block or remove, right? I mean, that's what I thought was happening. All right. So, if that's true, then all the hypotheticals and the questions about are you aiding and abetting if Google, you know, has a priority list or if there's recommendations, maybe, but that's not in the statute because we're just talking about immunity. We're just talking about whether or not you've made a claim for failing to block or remove in this case today related to Section 230. Am I doing too much of a separation here in terms of how I'm conceiving of it?"
277,"MR. SCHNAPPER","well let me articulate what  what the contention is that we are advancing and i think it is not quite the way you described it the contention we are advancing is that a variety of things that we are loosely characterizing as recommendations fall outside of the statut"," Well, let me articulate what -- what the contention is that we are advancing, and I think it's not quite the way you described it. The contention we're advancing is that a variety of things that we're loosely characterizing as recommendations fall outside of the statute."
278,"JUSTICE JACKSON","whi"," Why?"
279,"MR. SCHNAPPER","because in some of them the defendants not being treated as the publisher because in some of them thirdparty contents being  content is being created by the defendant because in some of them the defendants not acting as an interactive computer servic"," Because, in some of them, the defendant's not being treated as the publisher; because, in some of them, third-party content's being -- content is being created by the defendant; because, in some of them, the defendant's not acting as an interactive computer service."
280,"JUSTICE JACKSON","i see so i  i thought  i thought you were  the answer to why was because the statute is limited because the statute only focuses on certain kind of publisher conduct and to the extent that  that they are doing anything else recommending or whatever that is not going to be covered by this statute but you are sort of saying well let us look at what they are actually doing and it may fit in or it may not you are not sort of hewing very closely to the understanding of the original scope of the statute in terms of what it is trying to immunize these platforms against"," I see. So I -- I thought -- I thought you were -- the answer to why was because the statute is limited, because the statute only focuses on certain kind of publisher conduct, and to the extent that -- that they're doing anything else, recommending or whatever, that's not going to be covered by this statute. But you're sort of saying, well, let's look at what they're actually doing and it may fit in or it may not. You're not sort of hewing very closely to the understanding of the original scope of the statute in terms of what it is trying to immunize these platforms against."
281,"MR. SCHNAPPER","i  i  i think we are trying to do that in somewhat more of a particularized way that is to  to identify  to work our way through each of the three specific elements of the statute each tied to particular language to "," I -- I -- I think we're trying to do that in somewhat more of a particularized way, that is, to -- to identify -- to work our way through each of the three specific elements of the statute, each tied to particular language, to --"
282,"JUSTICE JACKSON","but i have got to tell you i do not see three elements in this i mean part of me  part of this is all the confusion i think that has developed over time about the meaning of the statement in the statute right i do not see three elements i see literally a sentence and the sentence in my view reads as though they are trying to actually direct courts to not impose publisher liability strict publisher liability against the backdrop of stat  of stratton oakmont so there is like some  somehow we have gotten to a world in which we have teased out three elements and we are trying to fit it all into that when i thought there was sort of a very simple sort of straightforward way to read the statute that you articulate in your brief which is this is really  this statute c is really just congress trying to not disincentivize these platforms for blocking and screening offensive conduct and so what they said is let us look at c let us have c let us have a system in which a system  a platform is not going to be punished strict liability for just having offensive conduct on their website and if they try  if they try to screen out we are not  we are going to say you will not be responsible for that either that is c but it really does not speak to whether you do a recommendation or whether you have an algorithm that does priorities or any of these other things that is how i thought that  that at least i was looking at the statute in light of its purposes and history and  and  and stratton oakmont and all of that in which case i think you would win unless your recommendations argument really is just the same thing as saying they are hosting isis videos on their websit"," But I've got to tell you I don't see three elements in this. I mean, part of me -- part of this is all the confusion, I think, that has developed over time about the meaning of the statement in the statute, right? I don't see three elements. I see literally a sentence, and the sentence in my view reads as though they're trying to actually direct courts to not impose publisher liability, strict publisher liability, against the backdrop of Stat -- of Stratton Oakmont. So there's like some -- somehow we've gotten to a world in which we've teased out three elements and we're trying to fit it all into that, when I thought there was sort of a very simple, sort of straightforward way to read the statute that you articulate in your brief, which is this is really -- this statute, (c)(1), is really just Congress trying to not disincentivize these platforms for blocking and screening offensive conduct. And so what they said is let's look at (c)(1). Let's have (c)(2). Let's have a system in which a system -- a platform is not going to be punished, strict liability for just having offensive conduct on their website, and, if they try -- if they try to screen out, we're not -- we're going to say you won't be responsible for that either. That's (c)(2). But it really doesn't speak to whether you do a recommendation or whether you have an algorithm that does priorities or any of these other things. That's how I thought that -- that at least I was looking at the statute in light of its purposes and history and -- and -- and Stratton Oakmont and all of that, in which case I think you would win, unless your recommendations argument really is just the same thing as saying they are hosting ISIS videos on their website."
